companyName,aliases,region,country,city,categoryHint,seedReason,seedSourceUrl,priority
AppliedVR,,US,US,Los Angeles,digital_therapeutics; pain management,VR 数字疗法/疼痛管理公司,https://www.appliedvr.io/,2
MedRhythms,,US,US,Portland,digital_therapeutics; rehabilitation; neurorehabilitation,神经康复数字疗法公司,https://www.medrhythms.com/,2
Woebot Health,Woebot,US,US,San Francisco,mental_health; digital therapeutics,数字心理健康公司,https://woebothealth.com/,2
Lark Health,,US,US,Mountain View,chronic_disease_management; diabetes; hypertension,AI 慢病管理公司,https://www.lark.com/,2
Glooko,,US,US,Palo Alto,chronic_disease_management; diabetes; remote_patient_monitoring,糖尿病数据和远程监测平台,https://glooko.com/,2
mySugr,Roche mySugr,Europe,AT,Vienna,chronic_disease_management; diabetes; mobile health,欧洲糖尿病管理 App,https://www.mysugr.com/,2
Oviva,,Europe,CH,Zurich,chronic_disease_management; digital nutrition therapy,欧洲数字营养/慢病管理公司,https://oviva.com/,2
Infermedica,,Europe,PL,Wroclaw,clinical_workflow; symptom assessment,欧洲症状评估/分诊平台,https://infermedica.com/,2
HelloBetter,GET.ON Institut,Europe,DE,Hamburg,digital_therapeutics; mental_health; DiGA,德国 DiGA/心理数字疗法公司,https://hellobetter.de/,2
Cara Care,HiDoc Technologies,Europe,DE,Berlin,digital_therapeutics; chronic_disease_management; gastrointestinal,德国消化疾病数字健康/DiGA 公司,https://cara.care/,2
好大夫在线,Haodf,China,CN,北京,online_consultation; internet_healthcare,中国在线问诊平台,https://www.haodf.com/,2
春雨医生,Chunyu Doctor,China,CN,北京,online_consultation; internet_healthcare,中国在线问诊平台,https://www.chunyuyisheng.com/,2
叮当快药,叮当健康,China,CN,北京,pharmacy_ecommerce; internet_healthcare,中国医药电商/互联网医疗平台,https://www.ddky.com/,2
微脉,Weimai,China,CN,杭州,internet_healthcare; patient engagement; online_consultation,杭州互联网医疗/患者服务平台,https://www.myweimai.com/,2
健康160,就医160,China,CN,深圳,internet_healthcare; online_consultation; appointment platform,深圳互联网医疗服务平台,https://www.91160.com/,2
