companyName,aliases,country,city,diseaseFocus,productLine,productType,targetUsers,businessModel,reachabilityStatus,tier,totalScore,productProblemFit,aiProductLeverage,personalFit,outreachFeasibility,commercialSignal,aiProductOpportunity,personalFitReason,contactTargets,contactRoute,outreachOpening,productEvidenceUrl,reachabilityEvidenceUrl,restrictionReason,sourceTier,stage2OpportunityScore,stage2Categories
RecoveryPlus.health,Recovery Plus USA Inc; Recovery Plus,US,New York,chronic_pain_msk; metabolic_cardiovascular,Virtual cardiac/pulmonary rehab and chronic care,virtual_rehabilitation_chronic_care,心肺康复、慢病管理、远程护理患者,virtual care provider / reimbursable care programs,remote_unknown,Excluded from shortlist,88,30,24,20,6,8,AI care manager 用于心肺康复依从性、症状问答、风险分层、个性化运动处方和护理团队 copilot。,慢病机制、临床路径和 agent 原型能力都能直接转化为产品讨论。,Founder、Chief Medical Officer、Head of Product、Rehab program lead,官网 contact / founder / clinical leadership,我想围绕虚拟心肺康复设计一个 AI care manager 原型，降低人力随访成本并提升患者依从性。,https://www.recoveryplus.health/about/,https://www.recoveryplus.health/about/,global remote not confirmed under strict policy,curated,85,chronic_disease_management; internet_healthcare; rehabilitation; remote_patient_monitoring
华佗大数据健康（杭州）有限公司,云上华佗,CN,杭州,platform_chronic_care; metabolic_cardiovascular,医疗数据 + AI 全栈应用 / 云上华佗,medical_data_ai_platform,医疗机构、医生、健康管理场景,医疗数据+AI解决方案,china_local_reachable,A,88,24,25,18,14,7,慢病/慢痛管理 agent、医生知识库问答、患者随访和数据分析自动化。,医学背景和 agent 实作可直接用于 AI 医疗产品定义。,Founder、AI Agent 产品负责人、医疗数据产品负责人,招聘页/官网/杭州AI医疗生态,我看到贵司在招 AI Agent 方向，想探讨把慢病/慢痛管理做成医疗数据驱动的 agent 产品。,https://jobs.niuqizp.com/job-vms55CzZC.html,https://jobs.niuqizp.com/job-vms55CzZC.html,,curated,,
华大生命科学研究院 / BGI,深圳华大生命科学研究院,CN,深圳 / 杭州,metabolic_cardiovascular; platform_chronic_care,个人多组学健康 Agent / AI产品,omics_health_ai_agent,个人健康、多组学分析、慢病风险管理用户,科研/产业化平台,china_local_reachable,A,88,25,24,20,12,7,代谢/慢病风险多组学 agent、报告解释、行为建议和医生/研究者 copilot。,Cell Metabolism 背景非常适合多组学和代谢慢病产品。,AI产品开发、组学健康产品、科研负责人,岗位线索/研究院/AI产品负责人,我想把代谢机制、组学解释和 LLM agent 结合，做面向慢病风险管理的个人健康产品。,https://www.lipind.com/position/detail/963421,https://www.genomics.cn/,,curated,,
Lark Health,,US,Mountain View,metabolic_cardiovascular,AI chronic disease coaching,ai_chronic_care_coach,糖尿病、高血压、体重管理和预防项目用户,B2B chronic care coaching,remote_unknown,Excluded from shortlist,87,28,25,20,6,8,把 AI coach 从脚本化互动升级为 agentic 慢病管理、个性化随访和风险升级。,你的定位与 AI 慢病 coach 产品高度重合。,AI product、clinical program、behavior science,careers / product / clinical leadership,我想讨论 AI 慢病 coach 的下一步：如何用 LLM agent 改善医学解释、依从性和安全升级。,https://www.lark.com/,https://www.lark.com/careers,global remote not confirmed under strict policy,curated,36,chronic_disease_management
Omada Health,"Omada Health, Inc.",US,San Francisco,metabolic_cardiovascular,"Virtual chronic care for diabetes, hypertension, obesity",virtual_chronic_care,糖尿病、高血压、肥胖、心血管风险人群,B2B employer / payer chronic care,country_restricted_remote,Excluded from shortlist,87,28,24,20,5,10,AI 慢病 coach、数据驱动风险分层、coach copilot、个性化干预和留存提升。,代谢慢病非常匹配，但远程严格口径受限。,Product、clinical program、AI/data product lead,Product/clinical leaders; careers watch,我想从代谢慢病行为改变出发，讨论 AI coach 如何降低人力交付成本并提升长期依从性。,https://www.omadahealth.com/,https://job-boards.greenhouse.io/omadahealth,remote is limited to a country/region such as US/UK/EU; not global remote,curated,69,chronic_disease_management; internet_healthcare; remote_patient_monitoring
Virta Health,,US,Denver,metabolic_cardiovascular,Diabetes and obesity reversal care,virtual_metabolic_care,2型糖尿病、肥胖和代谢健康人群,B2B payer/employer chronic care,country_restricted_remote,Excluded from shortlist,87,29,24,20,5,9,AI metabolic coach、营养/用药/实验室指标解释、coach copilot 和个体化路径。,Cell Metabolism 背景非常匹配，但可触达性受限。,Product、medical、behavior change program lead,Product/clinical/science leaders,我想围绕代谢病逆转项目，讨论如何用 AI agent 把医学机制、行为改变和随访变成产品闭环。,https://www.virtahealth.com/,https://www.virtahealth.com/careers,remote is limited to a country/region such as US/UK/EU; not global remote,curated,47,chronic_disease_management; internet_healthcare
Kaia Health,,US,New York,chronic_pain_msk,Digital MSK therapy,digital_msk_app,MSK 疼痛和运动康复患者,B2B digital MSK solution,remote_unknown,Excluded from shortlist,86,29,23,20,6,8,AI pain coach、动作处方个性化、疼痛教育和 CBT 模块衔接。,慢痛/MSK 强匹配，可触达性需要人工二次确认。,Product、clinical operations、AI/ML lead,careers/contact + product leaders,我希望围绕慢痛数字疗法，把医学机制、行为干预和 LLM agent 做成更强的用户自管理闭环。,https://kaiahealth.com/,https://kaiahealth.com/careers/,global remote not confirmed under strict policy,curated,40,rehabilitation
Lin Health,,US,,chronic_pain_msk; mental_sleep_comorbidity,Pain recovery coaching,chronic_pain_virtual_coaching,慢性疼痛患者和 health plan/employer 人群,virtual care / coaching program,country_restricted_remote,Excluded from shortlist,86,30,24,20,5,7,AI coach 用于疼痛解释、恐惧回避行为识别、flare-up 处理和 care team copilot。,慢痛机制与 AI coach 非常匹配，可触达性需要后续确认。,Product、clinical operations、pain neuroscience lead,Founder/clinical/product leads,我想探讨慢痛 neuroplastic recovery 中 AI coach 如何个性化解释、练习和随访。,https://www.lin.health/,https://www.lin.health/careers,remote is limited to a country/region such as US/UK/EU; not global remote,curated,,
阿里健康,Alibaba Health,CN,杭州,platform_chronic_care; metabolic_cardiovascular,互联网医疗 + 医药电商 + 医疗大模型,internet_healthcare_pharmacy_ai_platform,在线医疗、药品、健康管理用户,医药电商 + 医疗健康服务,china_local_reachable,A,86,22,24,18,13,9,医疗智能问答、慢病药事 agent、健康档案总结、患者教育和风险分层。,医学背景 + agent 原型和阿里健康医疗大模型方向有交集。,医疗大模型产品、智能问答、慢病药事服务负责人,阿里招聘/产品负责人/医疗大模型团队,我想围绕医疗大模型智能问答与慢病药事服务，提出一个可验证的 AI 产品 MVP。,https://www.alihealth.cn/,https://www.alihealth.cn/,,curated,47,internet_healthcare; pharmacy_ecommerce
Glooko,,US,Palo Alto,metabolic_cardiovascular,Diabetes data management and remote monitoring,diabetes_remote_monitoring_platform,糖尿病患者、医生、健康系统,B2B/B2C diabetes data platform,remote_unknown,Excluded from shortlist,85,27,24,20,6,8,血糖/设备数据解释 agent、医生 copilot、患者教育和风险分层。,代谢慢病和数据产品高度匹配。,Product、clinical workflow、data product lead,careers / product / clinical leads,我想讨论糖尿病数据平台如何用 AI agent 将多源数据转化为患者和医生都能用的建议。,https://glooko.com/,https://glooko.com/careers/,global remote not confirmed under strict policy,curated,60,chronic_disease_management; remote_patient_monitoring
Welldoc,WellDoc; Welldoc; BlueStar,US,Columbia,metabolic_cardiovascular,BlueStar diabetes digital therapeutic,digital_therapeutics_diabetes,糖尿病和心代谢慢病患者,DTx / payer / provider,remote_unknown,Excluded from shortlist,85,28,23,20,6,8,糖尿病 DTx 的 AI coach、行为建议、数据解释和医生报告。,代谢病和数字疗法强匹配。,Product、clinical science、behavioral program lead,careers / product / clinical science leads,我想从糖尿病数字疗法的医学和行为机制出发，讨论可评估的 AI coach 产品增强。,https://www.welldoc.com/,https://www.welldoc.com/careers/,global remote not confirmed under strict policy,curated,45,chronic_disease_management; digital_therapeutics
医渡科技,Yidu Tech,CN,北京,platform_chronic_care; metabolic_cardiovascular,医疗数据智能和真实世界研究,medical_data_ai_platform,医院、药企、研究机构、慢病研究/管理团队,医疗数据智能 / RWE / AI平台,china_local_reachable,B,85,22,23,20,12,8,慢病真实世界证据 agent、患者分层、研究问题生成、医生/研究者 copilot。,Cell Metabolism + agent 能支撑科研到产品的差异化切入。,AI产品、RWE产品、临床数据产品负责人,官网/投资者关系/AI产品/临床数据产品负责人,我想围绕慢病真实世界数据和 AI agent，讨论如何从研究问题、证据链到产品化工作流形成闭环。,https://www.yidutechgroup.com/,https://www.yidutechgroup.com/,,curated,,
方舟健客,方舟云康; Jianke,CN,广州,metabolic_cardiovascular; platform_chronic_care,慢病管理 + 医药电商 + 互联网医疗,chronic_care_pharmacy_ecommerce,慢病患者、复诊购药用户,互联网医疗 + 医药电商,china_local_reachable,B,85,25,22,17,13,8,用药随访 agent、复购预测、药事咨询、慢病患者运营和医生/药师 copilot。,适合产品经理/产品科学家切入，医学判断力能帮助安全边界设计。,慢病产品、药师服务、用户增长负责人,官网/投资者关系/慢病产品和药事服务负责人,我想围绕慢病药事服务做 AI agent，把复诊、用药教育、复购和异常提醒串成产品闭环。,https://www.jianke.com/,https://www.jianke.com/,,curated,58,chronic_disease_management; internet_healthcare; pharmacy_ecommerce
上海鹰瞳医疗科技有限公司,Airdoc,CN,上海,metabolic_cardiovascular,AI retinal screening for chronic disease risk,ai_screening_chronic_disease,糖尿病/慢病筛查人群、医疗机构、体检机构,AI医疗器械 + 筛查服务,china_local_reachable,B,84,24,22,18,12,8,筛查结果解释 agent、慢病风险教育、随访转化、医生/体检机构 copilot。,慢病机制理解和医学沟通能补足影像 AI 后链路产品。,产品、医学、筛查业务负责人,官网/医学事务/产品负责人,我想讨论 AI 筛查之后的患者教育和慢病管理闭环，如何用 agent 提升复诊和行为改变。,https://www.airdoc.com/,https://www.airdoc.com/,,curated,60,chronic_disease_management; clinical_workflow; samd
Biofourmis,,US,Boston,metabolic_cardiovascular; platform_chronic_care,AI remote patient monitoring,remote_patient_monitoring_ai,心衰、慢病、远程监测和居家护理患者,B2B health system / pharma / home care,remote_unknown,Excluded from shortlist,83,26,24,19,6,8,远程监测风险分层、患者日记 agent、care team copilot 和异常升级。,慢病远程监测和医学解释能力强相关。,Product、clinical ops、AI product lead,careers / product / clinical operations,我想围绕远程慢病监测，讨论 AI agent 如何让数据驱动护理更可解释、更可规模化。,https://www.biofourmis.com/,https://www.biofourmis.com/careers/,global remote not confirmed under strict policy,curated,60,digital_therapeutics; internet_healthcare; remote_patient_monitoring
MoreGoodDays,,AU,Melbourne,chronic_pain_msk; mental_sleep_comorbidity,Digital pain management programs,pain_behavioral_program,慢性疼痛患者,digital care program,remote_unknown,Excluded from shortlist,83,29,23,19,6,6,AI pain coach 追踪疼痛-睡眠-情绪循环，生成阶段化教育和行为练习。,慢痛+心理共病非常贴合，适合顾问/产品科学家式主动联系。,Founder、clinical product lead、program lead,官网 contact / founder / clinical lead,我想围绕慢痛用户的疼痛、睡眠和情绪日记设计一个 AI 产品闭环，提高长期依从性。,https://www.moregooddays.com/,https://www.moregooddays.com/,global remote not confirmed under strict policy,curated,,
Noom,Noom Health,US,New York,metabolic_cardiovascular; mental_sleep_comorbidity,Behavior change for weight and metabolic health,behavior_change_weight_management,肥胖、代谢健康和行为改变用户,B2C/B2B behavior change program,country_restricted_remote,Excluded from shortlist,83,26,24,19,5,9,AI behavior coach、代谢/饮食/情绪日记解释、个性化 nudging 和留存。,代谢+行为改变强匹配，远程限制需注意。,Product、behavior science、AI product,careers / product / behavior science leaders,我想从代谢和行为机制出发，讨论体重管理产品如何用 AI agent 提升个性化和长期留存。,https://www.noom.com/,https://www.noom.com/careers/,remote is limited to a country/region such as US/UK/EU; not global remote,curated,33,chronic_disease_management
平安健康,平安好医生; Ping An Good Doctor,CN,上海,platform_chronic_care; metabolic_cardiovascular; mental_sleep_comorbidity,互联网医疗和健康管理平台,internet_healthcare_platform,在线问诊、健康管理、慢病用户,互联网医疗 + 保险/企业健康生态,china_local_reachable,B,82,22,23,16,12,9,慢病分层、在线问诊 agent、健康档案总结、企业/保险健康管理 copilot。,平台大但切入路径较间接，适合作为 Tier C 主动联系。,健康管理产品、AI产品、医生运营负责人,官网/投资者关系/产品线负责人/平安生态,我想探讨大平台健康管理场景中，慢病 AI agent 如何降低医生和运营成本并提升长期留存。,https://www.pagd.net/,https://www.pagd.net/,,curated,56,clinical_workflow; internet_healthcare
京东健康,JD Health,CN,北京,platform_chronic_care; metabolic_cardiovascular,互联网医疗 + 医药电商 + 慢病服务,internet_healthcare_pharmacy_platform,复诊购药、慢病长期用药用户,医药电商 + 在线医疗,china_local_reachable,B,81,22,22,16,12,9,用药/复诊 agent、慢病会员运营、处方购药助手、医生药师 copilot。,平台大，适合提产品型机会而不是申请普通 PM。,慢病/药事服务产品、AI产品、医生运营,官网/京东招聘/业务线负责人,我想从慢病复诊购药和患者长期管理出发，讨论京东健康里 AI agent 的产品闭环。,https://www.jdh.com/,https://www.jdh.com/,,curated,47,internet_healthcare; pharmacy_ecommerce
Carepatron,,NZ,Global,platform_chronic_care,Healthcare practice management and telehealth platform,healthcare_platform,医生、治疗师、康复师、心理健康提供者,SaaS for healthcare practices,global_remote_confirmed,B,80,20,22,16,15,7,面向康复师/慢病管理提供者的 AI care-plan builder、患者随访 agent 和 clinical note copilot。,不是单病种产品，但你的医学+agent 能切入 provider workflow 产品。,Product、clinical workflow owner、founder,careers / founder / product team,我想探索 Carepatron 如何支持慢病/慢痛 care providers 用 AI agent 自动生成 care plan、随访和患者教育。,https://www.carepatron.com/,https://www.carepatron.com/careers,,curated,,
Wysa,,US / IN,,mental_sleep_comorbidity,AI mental health support,ai_mental_health_chatbot,心理健康、焦虑、睡眠和慢病共病人群,B2B/B2C mental health AI,remote_unknown,Excluded from shortlist,79,23,24,18,6,8,慢痛共病心理/睡眠 AI coach、安全升级、量表和干预路径个性化。,共病方向匹配，但远程政策未确认。,Clinical product、AI safety、product lead,careers / product / clinical safety,我想讨论慢痛患者常见心理/睡眠共病中，AI coach 如何兼顾可用性和医疗安全边界。,https://www.wysa.com/,https://www.wysa.com/careers,global remote not confirmed under strict policy,curated,,
Big Health,Big Health; Sleepio; Daylight,US,San Francisco,mental_sleep_comorbidity,Digital therapeutics for sleep and mental health,digital_therapeutics_sleep_mental_health,失眠、焦虑、心理健康和慢病共病人群,DTx / employer and payer channels,country_restricted_remote,Excluded from shortlist,78,24,23,18,5,8,慢痛共病睡眠/心理 AI coach、数字疗法内容个性化和疗效评估。,产品匹配但远程受限。,Product、clinical science、DTx lead,careers / product / clinical science leaders,我想把慢痛常见的睡眠和心理共病作为切入点，讨论 AI coach 如何增强数字疗法产品。,https://www.bighealth.com/,https://www.bighealth.com/careers/,remote is limited to a country/region such as US/UK/EU; not global remote,curated,51,digital_therapeutics; mental_health; sleep_health
微医,WeDoctor; 挂号网,CN,杭州,platform_chronic_care,互联网医院和健康管理平台,internet_hospital_platform,患者、医生、医疗机构,互联网医院平台,china_local_reachable,B,78,21,22,16,12,7,智能分诊、复诊随访、医生端病历总结和患者教育 agent。,平台型机会，适合产品科学家切入。,互联网医院产品、慢病运营、AI产品,官网/业务负责人/产品负责人,我想从互联网医院慢病复诊场景出发，讨论 AI agent 如何提高患者长期管理和医生效率。,https://www.guahao.com/,https://www.guahao.com/,,curated,39,internet_healthcare
Newpage,,US,Global,platform_chronic_care,Digital health product studio,digital_health_product_development,数字健康企业、医疗机构、慢病/患者管理产品团队,digital health product services,global_remote_confirmed,C,77,18,22,16,15,6,以 AI 慢病/慢痛产品顾问身份切入，为客户型项目设计 patient agent、clinical workflow 和验证框架。,更适合作为顾问/产品科学家切入，不是单一慢病产品公司。,Founder、product strategy、healthcare product lead,careers / contact / founder,我关注 Newpage 的数字健康产品建设，想讨论慢病/慢痛 AI agent 产品策略与医学验证如何成为新服务能力。,https://newpage.io/,https://newpage.io/careers/,,curated,,
北京康恒医疗科技有限公司,康恒医疗,CN,北京,platform_chronic_care; metabolic_cardiovascular,慢病管理系统和医疗大模型相关线索,chronic_care_ai_platform,医疗机构、慢病管理团队、患者,医疗软件/慢病系统,china_local_reachable,C,77,23,21,17,11,5,慢病管理系统中的 AI 随访、风险分层和医生 copilot。,适合作为中国主动联系的中小型产品机会。,产品、市场、医学负责人,官网/产品负责人/创始团队,我想讨论慢病管理系统如何引入可解释、可验证的 AI agent，提升患者依从性和医生效率。,https://www.kanghengmed.com/,https://www.kanghengmed.com/,,curated,,
远心医疗,上海远心医疗科技有限公司,CN,上海,metabolic_cardiovascular; platform_chronic_care,远程监测/患者管理医疗软件,remote_patient_monitoring,慢病随访、远程监测患者和医生,医疗软件/远程监测,china_local_reachable,C,77,23,22,17,10,5,监测数据总结、风险分层、随访任务自动化和医生 copilot。,慢病监测与 AI agent 高匹配。,产品、远程监测业务、医学负责人,NMPA 主体线索/上海医疗软件生态,我想讨论远程监测产品如何用 AI agent 把数据转化为患者能执行、医生能信任的管理建议。,https://udi.nmpa.gov.cn/,https://udi.nmpa.gov.cn/,,curated,,
丁香园,DXY,CN,杭州,platform_chronic_care; mental_sleep_comorbidity,医生社区、患者健康服务、医学内容与工具,medical_community_patient_engagement,医生、医学生、患者、健康用户,医学社区 + 内容/工具/健康服务,china_local_reachable,C,76,19,21,17,12,7,慢病知识 agent、医生/患者教育内容生成与评估、症状记录和行为干预工具。,医学写作和顶刊科研经历适合医学内容/AI产品转化。,医生工具产品、患者内容产品、AI产品,官网/内容产品/医生工具产品负责人,我想探讨医学内容、医生工具和慢病患者教育如何用 LLM agent 做成更强的产品闭环。,https://www.dxy.cn/,https://www.dxy.cn/,,curated,51,clinical_workflow; health_management_platform; patient_engagement
好大夫在线,Haodf,CN,北京,platform_chronic_care,在线问诊和患者随访,online_consultation_patient_followup,医生和复诊/慢病患者,在线医疗平台,china_local_reachable,C,76,20,21,16,12,7,复诊随访 agent、病情摘要、问诊准备、患者教育和医生 copilot。,平台型，适合作为产品科学家/顾问式联系。,患者管理产品、医生工具、AI产品,官网/产品/医生运营负责人,我想从复诊和慢病随访角度，讨论 AI agent 如何让患者更会描述病情、医生更快决策。,https://www.haodf.com/,https://www.haodf.com/,,curated,44,online_consultation; samd
Headspace Health,Headspace; Ginger,US,Santa Monica,mental_sleep_comorbidity,Mental health and mindfulness platform,behavioral_health_platform,心理健康、睡眠、慢病共病人群,B2C/B2B behavioral health,country_restricted_remote,Excluded from shortlist,75,22,22,17,5,9,慢痛共病心理/睡眠 AI coach、行为干预个性化、风险升级流程。,适合共病方向，但可触达性受限。,AI product、clinical content、behavioral health product,careers / product leads,我想围绕慢痛用户的睡眠和情绪共病，讨论 Headspace 类产品中更医学化的 AI coach。,https://www.headspace.com/,https://job-boards.greenhouse.io/hs,remote is limited to a country/region such as US/UK/EU; not global remote,curated,52,internet_healthcare; mental_health
圆心科技,Yuanxin Technology; 圆心医疗,CN,北京,platform_chronic_care; metabolic_cardiovascular,药房/患者管理/健康服务,pharmacy_patient_management,慢病长期用药患者、药房和医疗服务用户,药房 + 患者管理 + 医疗服务,china_local_reachable,C,75,20,21,15,12,7,慢病用药 agent、复购和随访、药师 copilot、患者风险提醒。,适合药事+慢病产品切入。,药事服务、患者管理、AI产品负责人,官网/投资者关系/药事服务负责人,我想围绕长期用药患者管理，设计一个能服务药师和患者的慢病 AI agent。,https://www.yuanxin.com/,https://www.yuanxin.com/,,curated,34,health_management_platform; patient_engagement; pharmacy_ecommerce
成都云卫康医疗科技有限公司,,CN,成都,mental_sleep_comorbidity; platform_chronic_care,睡眠/远程监测医疗软件,sleep_remote_monitoring,睡眠相关慢病和康复随访人群,医疗软件/远程监测,china_local_reachable,C,75,22,21,17,10,5,睡眠-疼痛-情绪共病追踪 agent、风险提醒和医生报告自动化。,补足慢痛共病方向，成都本地可触达。,产品负责人、医学负责人、注册负责人,NMPA 主体线索/成都医疗器械生态/工商联系方式,我想探讨睡眠监测与慢痛/慢病管理结合，如何用 AI agent 形成患者长期管理闭环。,https://udi.nmpa.gov.cn/,https://udi.nmpa.gov.cn/,,curated,64,remote_patient_monitoring; samd; sleep_health
