companyName,sourceType,sourceUrl,capturedAt,evidenceSummary,evidenceStrength,permissionFlag
腾讯医疗健康（深圳）有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697541034009820250217120028629,2026-05-14,opportunityScore=63; 心理/睡眠分层干预与对话式支持; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
英国雅培糖尿病护理公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179100284920241010051926155,2026-05-14,opportunityScore=63; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
"ACON Laboratories, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K101371,2026-05-14,opportunityScore=61; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
"Agamatrix, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K103544,2026-05-14,opportunityScore=61; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
纳龙健康科技股份有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697614113017020260424042209895,2026-05-14,opportunityScore=61; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
Biofourmis,ai_opportunity_scoring,https://www.biofourmis.com/,2026-05-14,opportunityScore=60; 远程监测风险分层与异常预警; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
Glooko,ai_opportunity_scoring,https://glooko.com/,2026-05-14,opportunityScore=60; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
上海鹰瞳医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697492288000920211219105757265,2026-05-14,opportunityScore=60; 慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
山东正心医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697246767051220240530041724743,2026-05-14,opportunityScore=60; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
深圳硅基智能科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697524021000420220706052022106,2026-05-14,opportunityScore=60; 慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
Amwell,ai_opportunity_scoring,https://business.amwell.com/,2026-05-14,opportunityScore=59; 远程监测风险分层与异常预警; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Hinge Health, Inc.",ai_opportunity_scoring,https://www.sec.gov/edgar/browse/?CIK=1673743,2026-05-14,opportunityScore=59; 康复计划生成、动作/依从性反馈与 care manager copilot; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
方舟健客,ai_opportunity_scoring,https://www.jianke.com/,2026-05-14,opportunityScore=58; 慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
Mindmaze SA,ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K173931,2026-05-14,opportunityScore=57; 康复计划生成、动作/依从性反馈与 care manager copilot,medium_ai_opportunity,derived_from_stage2_public_evidence
北京致远慧图科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697516973001020220120030704594,2026-05-14,opportunityScore=57; 慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
妙手医生,ai_opportunity_scoring,https://www.miaoshou.com/,2026-05-14,opportunityScore=57; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
长沙爱孕记医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=273c8003f6164690916f8a3fdc31996c,2026-05-14,opportunityScore=57; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
Doctolib,ai_opportunity_scoring,https://connect.doctolib.com/about-doctolib,2026-05-14,opportunityScore=56; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
平安健康,ai_opportunity_scoring,https://www.pagd.net/,2026-05-14,opportunityScore=56; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
苏州体素信息科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697517062001020221026035231561,2026-05-14,opportunityScore=56; 慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Corventis, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K090696,2026-05-14,opportunityScore=55; 远程监测风险分层与异常预警; 患者互动、留存和健康行为 nudging,medium_ai_opportunity,derived_from_stage2_public_evidence
Voluntis Sa.,ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K170669,2026-05-14,opportunityScore=55; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
合肥合滨智能机器人有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697545144001620240327110556534,2026-05-14,opportunityScore=54; 远程监测风险分层与异常预警; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
Headspace Health,ai_opportunity_scoring,https://organizations.headspace.com/,2026-05-14,opportunityScore=52; 心理/睡眠分层干预与对话式支持; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
春雨医生,ai_opportunity_scoring,https://www.chunyuyisheng.com/,2026-05-14,opportunityScore=52; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Big Health, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K233577,2026-05-14,opportunityScore=51; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
丁香园,ai_opportunity_scoring,https://www.dxy.cn/,2026-05-14,opportunityScore=51; 医生工作流、病历摘要和临床文档自动化; 患者互动、留存和健康行为 nudging,medium_ai_opportunity,derived_from_stage2_public_evidence
广州安必平医药科技股份有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694850093468220260509111140206,2026-05-14,opportunityScore=51; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
广西医准智能科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549183016720260204040539443,2026-05-14,opportunityScore=51; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
Ada Health,ai_opportunity_scoring,https://ada.com/,2026-05-14,opportunityScore=50; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化; 患者互动、留存和健康行为 nudging,medium_ai_opportunity,derived_from_stage2_public_evidence
mySugr,ai_opportunity_scoring,https://www.mysugr.com/,2026-05-14,opportunityScore=50; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
Babylon Health,ai_opportunity_scoring,https://www.babylonhealth.com/,2026-05-14,opportunityScore=49; 远程监测风险分层与异常预警; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
medrhythms,ai_opportunity_scoring,https://dtxalliance.org/members/medrhythms/,2026-05-14,opportunityScore=49; 康复计划生成、动作/依从性反馈与 care manager copilot,medium_ai_opportunity,derived_from_stage2_public_evidence
Sword Health,ai_opportunity_scoring,https://swordhealth.com/,2026-05-14,opportunityScore=49; 康复计划生成、动作/依从性反馈与 care manager copilot; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
深圳市保身欣科技电子有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692048530807820260512095841386,2026-05-14,opportunityScore=49; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
"Lifescan, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K120558,2026-05-14,opportunityScore=48; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
上海远心医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697830410015020251126054846763,2026-05-14,opportunityScore=48; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
北京新网医讯技术有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975940490058202301090405080,2026-05-14,opportunityScore=48; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
海南齐佳智能科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=895bdefe706046a3bb310582ade31a21,2026-05-14,opportunityScore=48; 康复计划生成、动作/依从性反馈与 care manager copilot; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
"Murata Vios, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K241728,2026-05-14,opportunityScore=47; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
Tomtec Imaging Systems GmbH,ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K090461,2026-05-14,opportunityScore=47; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
Virta Health,ai_opportunity_scoring,https://www.virtahealth.com/,2026-05-14,opportunityScore=47; 慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
京东健康,ai_opportunity_scoring,https://www.jdh.com/,2026-05-14,opportunityScore=47; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
北京锐视康科技发展有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697399055003620220429111501082,2026-05-14,opportunityScore=47; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
微脉,ai_opportunity_scoring,https://www.myweimai.com/,2026-05-14,opportunityScore=47; 在线问诊分诊、问答和医患服务自动化; 患者互动、留存和健康行为 nudging,medium_ai_opportunity,derived_from_stage2_public_evidence
阿里健康,ai_opportunity_scoring,https://www.alihealth.cn/,2026-05-14,opportunityScore=47; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
伯乐实验有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=036105223607342025092803570325,2026-05-14,opportunityScore=46; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
安徽爱视睿医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697892077001020260513021547627,2026-05-14,opportunityScore=46; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
英国雅培糖尿病护理公司Abbott Diabetes Care Ltd.,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00093815713579202205260441100,2026-05-14,opportunityScore=46; 远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
welldoc,ai_opportunity_scoring,https://dtxalliance.org/members/welldoc/,2026-05-14,opportunityScore=45; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
深圳市安普康科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0694672552335320260512092607521,2026-05-14,opportunityScore=45; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
健客,ai_opportunity_scoring,https://www.jianke.com/,2026-05-14,opportunityScore=44; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
叮当快药,ai_opportunity_scoring,https://www.ddky.com/,2026-05-14,opportunityScore=44; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
好大夫在线,ai_opportunity_scoring,https://www.haodf.com/,2026-05-14,opportunityScore=44; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
深圳市绘云生物科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975754180022202304110424121,2026-05-14,opportunityScore=44; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Arkray Factory USA, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K093819,2026-05-14,opportunityScore=43; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
"United Health Group, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K171406,2026-05-14,opportunityScore=43; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
健康160,ai_opportunity_scoring,https://www.91160.com/,2026-05-14,opportunityScore=43; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
苏州塞伯坦医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697783813001520260410042043412,2026-05-14,opportunityScore=43; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
青岛远程科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697510300027820231010040328484,2026-05-14,opportunityScore=43; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
麦康迪（绍兴）科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=6479ba87437042aeb1168a1c055b35ca,2026-05-14,opportunityScore=43; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
Akili,ai_opportunity_scoring,https://dtxalliance.org/members/akili-interactive/,2026-05-14,opportunityScore=42; 心理/睡眠分层干预与对话式支持; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Impact Applications, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K181223,2026-05-14,opportunityScore=42; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
Kry/Livi,ai_opportunity_scoring,https://www.livi.co.uk/,2026-05-14,opportunityScore=42; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Tandem Diabetes Care, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K122361,2026-05-14,opportunityScore=42; 医疗软件智能化和疗效反馈闭环,medium_ai_opportunity,derived_from_stage2_public_evidence
Bd Becton Dickinson Vacutainer Systems Preanalytic,ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K780939,2026-05-14,opportunityScore=41; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
Cedars-Sinai Medical Center,ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K172609,2026-05-14,opportunityScore=41; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
Oviva,ai_opportunity_scoring,https://oviva.com/,2026-05-14,opportunityScore=41; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
Woebot Health,ai_opportunity_scoring,https://woebothealth.com/,2026-05-14,opportunityScore=41; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
武汉康录生物技术股份有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=2d77c6be-9155-4945-b0c5-22e9056a52ac,2026-05-14,opportunityScore=41; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
江西思维智光医疗科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=069799554101862026041703374918,2026-05-14,opportunityScore=41; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
瑞海胜（厦门）康复用品有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06975872081720202603040234192,2026-05-14,opportunityScore=41; 康复计划生成、动作/依从性反馈与 care manager copilot,medium_ai_opportunity,derived_from_stage2_public_evidence
Animas Corp.,ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K063674,2026-05-14,opportunityScore=40; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
"Bayer Healthcare, LLC",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K082486,2026-05-14,opportunityScore=40; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
Kaia Health,ai_opportunity_scoring,https://www.kaiahealth.com/,2026-05-14,opportunityScore=40; 康复计划生成、动作/依从性反馈与 care manager copilot,medium_ai_opportunity,derived_from_stage2_public_evidence
中山瑞福医疗器械科技有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=ca378ffe533249bca57eb24c4317f7e3,2026-05-14,opportunityScore=40; 慢病管理 AI 教练与个性化随访,medium_ai_opportunity,derived_from_stage2_public_evidence
思澜科技（成都）有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=4425365e8e2f450280940b64ac1c59dc,2026-05-14,opportunityScore=40; 远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
"Argus Cognitive, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K223322,2026-05-14,opportunityScore=39; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
"Dexcom, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K192787,2026-05-14,opportunityScore=39; 远程监测风险分层与异常预警,medium_ai_opportunity,derived_from_stage2_public_evidence
Infermedica,ai_opportunity_scoring,https://infermedica.com/,2026-05-14,opportunityScore=39; 医生工作流、病历摘要和临床文档自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
"Mahana Therapeutics, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K211372,2026-05-14,opportunityScore=39; 心理/睡眠分层干预与对话式支持,medium_ai_opportunity,derived_from_stage2_public_evidence
"Medtronic, Inc.",ai_opportunity_scoring,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K153160,2026-05-14,opportunityScore=39; 患者互动、留存和健康行为 nudging,medium_ai_opportunity,derived_from_stage2_public_evidence
亳州融健医疗用品有限公司,ai_opportunity_scoring,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=06973774191615202604020500141,2026-05-14,opportunityScore=39; 康复计划生成、动作/依从性反馈与 care manager copilot,medium_ai_opportunity,derived_from_stage2_public_evidence
微医,ai_opportunity_scoring,https://www.guahao.com/,2026-05-14,opportunityScore=39; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化,medium_ai_opportunity,derived_from_stage2_public_evidence
