companyName,productName,productType,sourceType,sourceUrl,categories,productAiFitScore,expectedMarketLiftScore,implementationComplexityScore,complianceRiskScore,priorityScore,aiOpportunity
英国雅培糖尿病护理公司,持续葡萄糖监测系统,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=05021791715916202205200721431,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,持续葡萄糖监测系统,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=05021791715930202205200721433,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司Abbott Diabetes Care Ltd.,血糖血酮仪FreeStyle Optium Neo H Blood Glucose and Ketone Monitoring System,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=00093815713579202205260441100,remote_patient_monitoring; chronic_disease_management,19,20,0,2,38,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
Glooko,Glooko,remote_patient_monitoring,round2_seed,https://glooko.com/,remote_patient_monitoring; chronic_disease_management,19,18,0,0,37,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
Livongo,Livongo chronic care,remote_patient_monitoring,round2_seed,https://www.teladochealth.com/livongo,remote_patient_monitoring; chronic_disease_management,19,18,0,0,37,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化
"Omada Health, Inc.",Omada Health,remote_patient_monitoring,round2_seed,https://www.omadahealth.com/,remote_patient_monitoring; chronic_disease_management; internet_healthcare,19,18,0,0,37,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化
Prosomnus Sleep Technologies,"ProSomnus EVO [PH] Sleep and Snore Device, ProSomnus EVO [PH] Sleep and Snore Device with Patient Monitoring",remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K221889,remote_patient_monitoring; sleep_health,18,20,0,2,37,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
"Teladoc Health, Inc.",Teladoc Health,remote_patient_monitoring,round2_seed,https://www.teladochealth.com/,remote_patient_monitoring; chronic_disease_management; internet_healthcare,19,18,0,0,37,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 心理/睡眠分层干预与对话式支持; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化
云智康医疗科技（内蒙古）有限公司,睡眠呼吸监测仪,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=13ff18ac57eb4e89a3dee8cc6d094806,remote_patient_monitoring; sleep_health,18,20,0,2,37,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
北京新兴阳升科技有限公司,床垫式睡眠呼吸监测系统,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697568534000720230304082002422,remote_patient_monitoring; sleep_health,18,20,0,2,37,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
北京航天卡迪技术开发研究所,睡眠监测电极包及附件,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0692066571720120251017011019242,remote_patient_monitoring; sleep_health,18,20,0,2,37,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
思澜科技（成都）有限公司,便携式睡眠呼吸监测仪,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=4425365e8e2f450280940b64ac1c59dc,remote_patient_monitoring; sleep_health,18,20,0,2,37,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
思澜科技（成都）有限公司,便携式睡眠呼吸监测仪,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=aada7ead2f6f45a1a3006824a7cc57df,remote_patient_monitoring; sleep_health,18,20,0,2,37,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
河南华南医电科技有限公司,睡眠呼吸监测仪,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697456412010520230131012921496,remote_patient_monitoring; sleep_health,18,20,0,2,37,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
"ACON Laboratories, Inc.",ON CALL PLUS DIABETES MONITORING SOFTWARE,samd_or_medical_software,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K101371,samd; remote_patient_monitoring; chronic_disease_management,19,20,4,7,35,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Agamatrix, Inc.","IBGSTAR BLOOD GLUCOSE MONITORING SYSTEM, IBGSTAR DIABETES MANAGER APPLICATION, REV D",samd_or_medical_software,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K103544,samd; remote_patient_monitoring; chronic_disease_management,19,20,4,7,35,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
成都云卫康医疗科技有限公司,睡眠监测数据分析软件,samd_or_medical_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0033202403220556523,samd; remote_patient_monitoring; sleep_health,18,20,4,7,34,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
成都云卫康医疗科技有限公司,睡眠监测数据分析软件,samd_or_medical_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0042202403220556524,samd; remote_patient_monitoring; sleep_health,18,20,4,7,34,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
成都云卫康医疗科技有限公司,睡眠监测数据分析软件,samd_or_medical_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0051202403220556525,samd; remote_patient_monitoring; sleep_health,18,20,4,7,34,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
成都云卫康医疗科技有限公司,睡眠监测数据分析软件,samd_or_medical_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0060202403220556526,samd; remote_patient_monitoring; sleep_health,18,20,4,7,34,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
成都云卫康医疗科技有限公司,睡眠监测数据分析软件,samd_or_medical_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0079202403220556527,samd; remote_patient_monitoring; sleep_health,18,20,4,7,34,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
成都云卫康医疗科技有限公司,睡眠监测数据分析软件,samd_or_medical_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=MA.156.M0.101195.0YWK0088202403220556528,samd; remote_patient_monitoring; sleep_health,18,20,4,7,34,远程监测风险分层与异常预警; 心理/睡眠分层干预与对话式支持
"Abbott Diabetes Care, Inc.",FREESTYLE PRECISION PRO BLOOD GLUCOSE AND B-KETONE MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K130094,remote_patient_monitoring,13,20,0,2,32,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Abbott Diabetes Care, Inc.",FREESTYLE 600 BLOOD GLUCOSE MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K050500,remote_patient_monitoring,13,20,0,2,32,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Abbott Diabetes Care, Inc.",FREESTYLE AVIATOR INSULIN DELIVERY AND BLOOD GLUCOSE MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K083225,remote_patient_monitoring,13,20,0,2,32,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Abbott Diabetes Care, Inc.",FreeStyle Libre 2 Flash Glucose Monitoring System,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K193371,remote_patient_monitoring,13,20,0,2,32,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Abbott Diabetes Care, Inc.",FreeStyle Libre 3 Continuous Glucose Monitoring System,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K212132,remote_patient_monitoring,13,20,0,2,32,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Abbott Diabetes Care, Inc.",FREESTYLE PRECISION PRO BLOOD GLUCOSE AND B-KETONE MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K132511,remote_patient_monitoring,13,20,0,2,32,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Abbott Diabetes Care, Inc.","PRECISION XCEED PRO BLOOD GLUCOSE AND B-KETONE MONITORING SYSTEM WITH MODELS BGMS:70900-03, 70090-02, G3CH STRIPS",remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K080960,remote_patient_monitoring,13,20,0,2,32,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
"Abbott Diabetes Care, Inc.",FREESTYLE TRACKER DIABETES MANAGEMENT SYSTEM,digital_health_or_medical_device_software,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K020866,chronic_disease_management,11,20,0,2,30,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
医联,医联,digital_health_or_medical_device_software,round2_company_site,https://www.medlinker.com/index,chronic_disease_management; clinical_workflow,19,13,4,0,30,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化
英国雅培糖尿病护理公司,β-羟丁酸试纸（电化学法）,digital_health_or_medical_device_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0009381571127820220526054128188,chronic_disease_management,11,20,0,2,30,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,β-羟丁酸试纸（电化学法）,digital_health_or_medical_device_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0009381599113720220526072012590,chronic_disease_management,11,20,0,2,30,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,血糖/血酮质控液,digital_health_or_medical_device_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0502179199938520220526072540275,chronic_disease_management,11,20,0,2,30,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,血糖血酮仪,digital_health_or_medical_device_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0009381571394420220526074424458,chronic_disease_management,11,20,0,2,30,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,血糖试纸（葡萄糖脱氢酶法）,digital_health_or_medical_device_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0009381571319720220526070938306,chronic_disease_management,11,20,0,2,30,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
英国雅培糖尿病护理公司,血糖试纸（葡萄糖脱氢酶法）,digital_health_or_medical_device_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0009381571310420220526060921849,chronic_disease_management,11,20,0,2,30,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访
医联,医联,digital_health_or_medical_device_software,round2_seed,https://www.medlinker.com/,chronic_disease_management; internet_healthcare,11,18,0,0,29,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化
方舟健客,方舟健客,digital_health_or_medical_device_software,round2_seed,https://www.jianke.com/,chronic_disease_management; internet_healthcare; pharmacy_ecommerce,11,18,0,0,29,慢病管理 AI 教练与个性化随访; 在线问诊分诊、问答和医患服务自动化; 用药咨询、处方/复购推荐和药事服务自动化
智云健康,智云健康,digital_health_or_medical_device_software,round2_seed,https://www.cloudr.cn/,chronic_disease_management,11,18,0,0,29,慢病管理 AI 教练与个性化随访; 医生工作流、病历摘要和临床文档自动化; 在线问诊分诊、问答和医患服务自动化
天津致远慧图科技有限公司,慢病数据管理软件,samd_or_medical_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021014420230320104547712,samd; chronic_disease_management,11,20,4,7,27,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 康复计划生成、动作/依从性反馈与 care manager copilot
天津致远慧图科技有限公司,慢病数据管理软件,samd_or_medical_software,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697549021015120230320104943530,samd; chronic_disease_management,11,20,4,7,27,远程监测风险分层与异常预警; 慢病管理 AI 教练与个性化随访; 康复计划生成、动作/依从性反馈与 care manager copilot
"Arzco Medical Electronics, Inc.",TAPSCOPE ESOPHAGEAL CARDIAC RECORDING STETHOSCOPE,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K904943,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Bd Becton Dickinson Vacutainer Systems Preanalytic,BARD-PARKER ARTERIAL MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K780939,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Boston Scientific Cardiac Diagnostic Technologies, Inc.",BodyGuardian Remote Monitoring System (BGRMS v3.0),remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K243349,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Cambridge Heart, Inc.",CARDIAC DIAGNOSTIC SYSTEM MODEL CH 2000,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K983102,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Capsule Technologie Sas,SmartLinx Vitals Plus Patient Monitoring System,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K200856,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Cedars-Sinai Medical Center,CSMC Cardiac Suite,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K172609,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Conmedcorp,EXACTRACE ADULT FOAM MONITORING ECG ELECTRODE CONMED MODEL 1510 AND INSTATRACE ADULT DIAPHORETIC FOAM ECG ELECTRODE CONM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K963787,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Conphar, Inc.",DIGITAL BLOOD PRESSURE UNIT,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K813385,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Corventis, Inc.",NUVANT CARDIAC EVENT MONITORING SYSTEM; NUVANT MOBILE CARDIAC TELEMETRY SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K090696,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警; 患者互动、留存和健康行为 nudging
"Dexcom, Inc.",Dexcom G6 Glucose Program Continuous Glucose Monitoring (CGM) System,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K193642,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Dexcom, Inc.",Dexcom G6 Glucose Program Continuous Glucose Monitoring (GCM) System,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K192787,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Diagnostic Monitoring Software,DMS 300-2W HOLTER ECG RECORDER,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K133014,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Galix Biomedical Instrumentation, Inc.",3 CHANNEL DIGITAL AMBULATORY ECG RECORDER,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K971670,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"General Life Biotechnology Co., Ltd.",GLB BENECHECK PREMIUM GLU MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K123090,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Hewlett-Packard GmbH,CARDIAC MONITOR - RATE ALARM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K820825,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Hewlett-Packard GmbH,CARDIAC OUTPUT MODULE-78231C,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K772234,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Hewlett-Packard GmbH,"HP VIRIDIA COMPONENT MONITORING SYSTEM, HP VIRIDIA CMS 24/26, HP VIRIDIA MULTI-MEASUREMENT SERVER AND COMPACT PORTABLE P",remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K991773,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Infopia Co, Ltd.",ELEMENTV BLOOD GLUCOSE MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K132406,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Infopia Co, Ltd.","GLUNEO LITE GLUCOSE MONITORING SYSTEM, GLUNEO LITE PROFESSIONAL BLOOD GLUCOSE MONITORING SYSTEM",remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K132966,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Instrumentation Laboratory CO,CARDIAC OUTPUT COMPUTER MODEL 701,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K771977,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Lawrence Medical Systems, Inc.",LAWRENCE L3000 CARDIAC OUTPUT MONITOR,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K874885,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Macon & Co., Inc.",FETAL MONITORING TRANSDUCER STRAP,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K902802,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Microlife Intellectual Property GmbH,Microlife Upper Arm Automatic Digital Blood Pressure Monitor,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K171937,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Nikomed U.S.A., Inc.",DISPOSABLE ECG MONITORING ELECTRODE,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K950473,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Omega Critical Care Limited,"CONTINUOUS CARDIAC OUPUT MONITOR, TRUCCOM",remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K081776,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Paceart, Inc.",PACEART TX3 CARDIAC EVENT RECORDER,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K012407,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Philips Medical Systems, Inc.",PHILIPS CARDIAC WORKSTATION,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K922622,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Ppg Industries, Inc.","MIDAS SYSTEM 2500, PHYSIOLOGICAL MONITORING SYSTEM",remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K912627,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
R D Intl.,RDI CARDIAC INSULATION PAD,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K960312,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
R2 Corp.,MAGNATRODE CARDIAC MONITORING ELECTRODE,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K832516,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Roche Diagnostics,ACCU-CHEK INFORM II BLOOD GLUCOSE MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K121679,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
Sk Med,SK MED ME202 MONITORING MIXER,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K031860,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
"Zoe Medical, Inc.",NIGHTINGALE MONITORING SYSTEM,remote_patient_monitoring,openfda_device_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?id=K130740,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
上海微创医疗机器人（集团）股份有限公司,远程通讯工作站,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697162154189720250714111901457,remote_patient_monitoring,13,14,0,2,26,远程监测风险分层与异常预警
华思（天津）医疗健康管理有限公司,单导联动态心电记录仪,remote_patient_monitoring,nmpa_udi,https://udi.nmpa.gov.cn/showDetailCX.html?deviceRecordKey=0697452953302520241218013534343,remote_patient_monitoring; health_management_platform,13,14,0,2,26,远程监测风险分层与异常预警
